;company_name;topics;topics_vector;max_lda_topic;max_lda_weight;esg_vector;max_esg_topic;max_esg_weight
0;3ACKH;[(22, 0.043131966), (26, 0.029636152), (34, 0.063039675), (45, 0.037291616), (46, 0.4801011), (66, 0.12194009), (74, 0.034163594), (81, 0.05929713), (86, 0.10860548), (10, 0.07921598), (25, 0.17118707), (46, 0.022132229), (74, 0.056978434), (82, 0.07036192), (95, 0.5308604)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.07921598 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04313197 0.
 0.         0.17118707 0.02963615 0.         0.         0.
 0.         0.         0.         0.         0.06303968 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03729162 0.25111667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.12194009 0.         0.         0.         0.         0.
 0.         0.         0.04557101 0.         0.         0.
 0.         0.         0.         0.05929713 0.07036192 0.
 0.         0.         0.10860548 0.         0.         0.
 0.         0.         0.         0.         0.         0.53086042
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";95;0.530860424041748;{'environmental': 0.6686415421314734, 'social': 0.4542983876828248, 'corporate governance': 0.4883152633148835};environmental;0.6686415421314734
1;4622B;[(24, 0.44359952), (25, 0.49804822), (95, 0.05621992)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.44359952 0.49804822 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.05621992
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";25;0.49804821610450745;{'environmental': 0.19753053429580872, 'social': 0.3583573908323333, 'corporate governance': 0.44197973360617954};corporate governance;0.44197973360617954
2;5938B;[(24, 0.09320571), (25, 0.5645714), (47, 0.03851361), (53, 0.0213436), (61, 0.14697817), (86, 0.09022443), (12, 0.06291988), (25, 0.54535705), (47, 0.06673487), (61, 0.07705839), (86, 0.19860995), (24, 0.09247202), (25, 0.5585928), (47, 0.038196146), (53, 0.020213418), (61, 0.14515366), (86, 0.097412415), (24, 0.08785719), (25, 0.54659003), (47, 0.051944777), (61, 0.13792631), (86, 0.11362728), (24, 0.033459235), (25, 0.6575118), (61, 0.113926224), (95, 0.15407357)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.06291988 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07674854 0.57452461 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04884735
 0.         0.         0.         0.         0.         0.02077851
 0.         0.         0.         0.         0.         0.
 0.         0.12420855 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.12496852 0.         0.         0.
 0.         0.         0.         0.         0.         0.15407357
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";25;0.5745246052742005;{'environmental': 0.3233470760643516, 'social': 0.36300143117374295, 'corporate governance': 0.5007210073419766};corporate governance;0.5007210073419766
3;6583B;[(47, 0.66596544), (95, 0.33272085), (47, 0.23641406), (95, 0.7619893), (47, 0.36956736), (95, 0.6292545)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.42398229
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.57465489
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";95;0.574654887119929;{'environmental': 0.34418525252077314, 'social': 0.401650741232766, 'corporate governance': 0.25280118081304764};social;0.401650741232766
4;AA;[(20, 0.04413608), (25, 0.1432482), (26, 0.03353263), (45, 0.0229545), (46, 0.063897386), (53, 0.24928817), (86, 0.33969504), (95, 0.051106162), (20, 0.04412244), (25, 0.11454999), (26, 0.02081062), (34, 0.02602845), (46, 0.029261703), (53, 0.3048363), (86, 0.34263945), (95, 0.08898006), (20, 0.13901845), (22, 0.041230906), (43, 0.4034703), (79, 0.29662097), (94, 0.053317294), (20, 0.1283981), (43, 0.50743777), (79, 0.33237842), (26, 0.063293576), (27, 0.041445848), (43, 0.13593912), (46, 0.09100643), (53, 0.1983671), (79, 0.22338745), (86, 0.07244916), (94, 0.08624984), (20, 0.028955786), (26, 0.077062316), (34, 0.024641177), (46, 0.107397564), (53, 0.39201063), (76, 0.025986835), (79, 0.06956005), (86, 0.15379307), (95, 0.051866114), (20, 0.059335988), (43, 0.7842438), (79, 0.10773298), (20, 0.118118905), (43, 0.5508163), (79, 0.2760175), (20, 0.045534663), (43, 0.6412323), (76, 0.036935512), (79, 0.22661561)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.07595255 0.         0.04123091 0.
 0.         0.12889909 0.04867479 0.04144585 0.         0.
 0.         0.         0.         0.         0.02533481 0.
 0.         0.         0.         0.         0.         0.
 0.         0.5038566  0.         0.0229545  0.07289077 0.
 0.         0.         0.         0.         0.         0.28612555
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.03146117 0.
 0.         0.21890185 0.         0.         0.         0.
 0.         0.         0.22714418 0.         0.         0.
 0.         0.         0.         0.         0.06978357 0.06398411
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";43;0.5038566042979559;{'environmental': 0.7739216108019645, 'social': 0.44057106335101603, 'corporate governance': 0.644147632221255};environmental;0.7739216108019645
5;AABA;[(6, 0.73365563), (69, 0.10734172), (94, 0.04858766), (95, 0.09355725), (25, 0.092103615), (27, 0.071966216), (34, 0.133104), (73, 0.055012), (86, 0.10967515), (94, 0.13676871), (95, 0.35622406), (24, 0.1229783), (27, 0.024235679), (34, 0.17766687), (46, 0.023140505), (53, 0.037652683), (73, 0.12759306), (86, 0.099478155), (90, 0.13761505), (94, 0.02348104), (95, 0.1627887), (96, 0.02203093), (21, 0.1330252), (34, 0.07155754), (40, 0.11906896), (53, 0.22535099), (73, 0.1076024), (79, 0.021580558), (86, 0.1017735), (89, 0.037936278), (95, 0.11556043), (102, 0.023459818), (10, 0.034759223), (25, 0.24531269), (34, 0.031021597), (46, 0.022126347), (53, 0.12579244), (86, 0.04801278), (95, 0.47310075), (24, 0.10144522), (25, 0.333012), (34, 0.08677352), (60, 0.022028085), (95, 0.45169678), (6, 0.050656073), (21, 0.10868246), (22, 0.06803053), (34, 0.09451253), (40, 0.02132044), (42, 0.028837826), (69, 0.027260056), (73, 0.14134909), (86, 0.2183944), (95, 0.17538638), (96, 0.04794513), (10, 0.03855301), (24, 0.064887434), (69, 0.054798312), (75, 0.18193041), (95, 0.58978486), (25, 0.13058116), (34, 0.21771312), (73, 0.051649567), (95, 0.551385), (16, 0.074185066), (21, 0.04574675), (25, 0.057639927), (34, 0.17253862), (73, 0.11139732), (86, 0.049860276), (89, 0.037248008), (95, 0.35653648), (25, 0.088726364), (34, 0.020025596), (40, 0.022136021), (42, 0.023818903), (47, 0.02282644), (75, 0.12776771), (95, 0.6529472), (6, 0.86711276), (69, 0.10068594), (6, 0.1528869), (25, 0.2145409), (61, 0.3135532), (69, 0.12327305), (95, 0.16135122), (25, 0.46490818), (53, 0.05386257), (75, 0.023149708), (95, 0.42115244), (6, 0.30545846), (25, 0.027627978), (55, 0.057158638), (61, 0.34285474), (69, 0.07658383), (95, 0.18001398)];"[0.         0.         0.         0.         0.         0.
 0.42195396 0.         0.         0.         0.03665612 0.
 0.         0.         0.         0.         0.07418507 0.
 0.         0.         0.         0.09581814 0.06803053 0.
 0.09643698 0.18382809 0.         0.04810095 0.         0.
 0.         0.         0.         0.         0.11165704 0.
 0.         0.         0.         0.         0.05417514 0.
 0.02632836 0.         0.         0.         0.02263343 0.02282644
 0.         0.         0.         0.         0.         0.11066467
 0.         0.05715864 0.         0.         0.         0.
 0.02202808 0.32820398 0.         0.         0.         0.
 0.         0.         0.         0.08165715 0.         0.
 0.         0.09910057 0.         0.11094928 0.         0.
 0.         0.02158056 0.         0.         0.         0.
 0.         0.         0.10453238 0.         0.         0.03759214
 0.13761505 0.         0.         0.         0.06961247 0.33867754
 0.03498803 0.         0.         0.         0.         0.
 0.02345982 0.         0.        ]";6;0.42195396274328234;{'environmental': 0.9243260116986355, 'social': 0.9096087814468904, 'corporate governance': 1.0065158169448172};corporate governance;1.0065158169448172
6;AAL;[(6, 0.44087505), (20, 0.051563215), (44, 0.08885224), (45, 0.10750723), (53, 0.022737013), (55, 0.04563993), (95, 0.2004316), (29, 0.04762299), (44, 0.24799183), (46, 0.13189425), (53, 0.33508462), (86, 0.13217811), (95, 0.104141854), (6, 0.35128552), (20, 0.3456708), (44, 0.054853465), (69, 0.044645075), (95, 0.18805361), (6, 0.2671184), (20, 0.37365437), (25, 0.06380126), (44, 0.044356454), (67, 0.03283397), (95, 0.20858964), (44, 0.99817216), (16, 0.2824108), (44, 0.12702124), (61, 0.022017049), (74, 0.14340526), (86, 0.38689637), (95, 0.033520717), (44, 0.68264437), (95, 0.3154231), (27, 0.09543487), (40, 0.10485755), (44, 0.12693135), (53, 0.03357527), (86, 0.059450887), (94, 0.38366467), (95, 0.15060946), (21, 0.19184011), (40, 0.11524011), (44, 0.23962127), (86, 0.13554071), (95, 0.25313893), (74, 0.99728596), (25, 0.033767086), (27, 0.05212277), (34, 0.02440513), (40, 0.14880107), (44, 0.21709436), (46, 0.030438483), (53, 0.040376812), (86, 0.06042644), (94, 0.14289445), (95, 0.22946547), (6, 0.031359084), (20, 0.39217323), (43, 0.15789004), (44, 0.0992735), (79, 0.054027822), (95, 0.25737384)];"[0.         0.         0.         0.         0.         0.
 0.27265951 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.2824108  0.
 0.         0.         0.2907654  0.19184011 0.         0.
 0.         0.04878417 0.         0.07377882 0.         0.04762299
 0.         0.         0.         0.         0.02440513 0.
 0.         0.         0.         0.         0.12296624 0.
 0.         0.15789004 0.26607384 0.10750723 0.08116636 0.
 0.         0.         0.         0.         0.         0.10794343
 0.         0.04563993 0.         0.         0.         0.
 0.         0.02201705 0.         0.         0.         0.
 0.         0.03283397 0.         0.04464507 0.         0.
 0.         0.         0.57034561 0.         0.         0.
 0.         0.05402782 0.         0.         0.         0.
 0.         0.         0.1548985  0.         0.         0.
 0.         0.         0.         0.         0.26327956 0.19407482
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";74;0.5703456103801727;{'environmental': 1.331151851724507, 'social': 1.0443671046747507, 'corporate governance': 1.0820574617184475};environmental;1.331151851724507
7;AAPL;[(25, 0.039957147), (46, 0.37882796), (82, 0.5540594), (46, 0.028678376), (82, 0.97020876), (46, 0.99420357), (46, 0.9993835), (46, 0.36641312), (82, 0.48368615), (86, 0.051168665), (95, 0.056507166), (46, 0.97264534), (82, 0.026186582), (46, 0.9725675), (82, 0.026264405), (46, 0.99943775), (46, 0.999382), (82, 0.99804974), (82, 0.9987428), (25, 0.0995311), (43, 0.055244025), (46, 0.18156342), (82, 0.6625209), (46, 0.26196805), (82, 0.71931374)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.06974412 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.05524402 0.         0.         0.65046096 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.60433694 0.
 0.         0.         0.05116867 0.         0.         0.
 0.         0.         0.         0.         0.         0.05650717
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";46;0.6504609642381017;{'environmental': 0.8965966930193993, 'social': 0.2338736171351597, 'corporate governance': 0.3569915746242994};environmental;0.8965966930193993
8;ABS;[(25, 0.07878478), (40, 0.05483916), (47, 0.028300826), (95, 0.79465276), (44, 0.056759506), (46, 0.039385583), (95, 0.87513626), (11, 0.093962416), (46, 0.12727402), (47, 0.17671975), (95, 0.55053514), (11, 0.02424812), (25, 0.043820158), (40, 0.044182077), (95, 0.8562488)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.05910527
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.06130247 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04951062 0.
 0.         0.         0.05675951 0.         0.0833298  0.10251029
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.76914324
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";95;0.7691432386636734;{'environmental': 0.4113643418803644, 'social': 0.45234973343826473, 'corporate governance': 0.31794711700910866};social;0.45234973343826473
9;ABT;[(25, 0.10491568), (40, 0.060569856), (47, 0.035555277), (69, 0.046570938), (79, 0.17391281), (86, 0.26732385), (95, 0.27949843), (3, 0.039262928), (25, 0.13976379), (53, 0.03160543), (69, 0.03149432), (79, 0.113376014), (85, 0.052730776), (86, 0.36486602), (95, 0.1671639), (11, 0.10107469), (25, 0.060100734), (47, 0.040871717), (79, 0.16912955), (86, 0.32324547), (95, 0.28186595), (6, 0.066850774), (11, 0.049657494), (25, 0.24119224), (47, 0.07605308), (86, 0.16579445), (95, 0.31768036), (99, 0.060990375), (11, 0.033544384), (25, 0.23560153), (47, 0.07887796), (79, 0.2239018), (86, 0.21611382), (95, 0.20551911), (6, 0.06751188), (10, 0.048758794), (11, 0.036834214), (45, 0.5364115), (47, 0.022361686), (69, 0.09567872), (86, 0.09216638), (95, 0.08030123), (21, 0.040410064), (40, 0.05841394), (47, 0.16025682), (86, 0.13172735), (95, 0.57825315), (34, 0.055964556), (40, 0.20015796), (47, 0.14541453), (86, 0.048063025), (95, 0.51629305), (11, 0.041011207), (25, 0.15588003), (79, 0.40143013), (86, 0.1491141), (95, 0.17386158), (11, 0.05161235), (17, 0.02920397), (25, 0.06827116), (40, 0.052263737), (47, 0.297699), (53, 0.025323447), (86, 0.12716444), (95, 0.29369873)];"[0.         0.         0.         0.03926293 0.         0.
 0.06718133 0.         0.         0.         0.04875879 0.05228906
 0.         0.         0.         0.         0.         0.02920397
 0.         0.         0.         0.04041006 0.         0.
 0.         0.14367502 0.         0.         0.         0.
 0.         0.         0.         0.         0.05596456 0.
 0.         0.         0.         0.         0.09285137 0.
 0.         0.         0.         0.53641152 0.         0.10713626
 0.         0.         0.         0.         0.         0.02846444
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05791466 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.21635006 0.         0.         0.         0.
 0.         0.05273078 0.18855789 0.         0.         0.
 0.         0.         0.         0.         0.         0.28941355
 0.         0.         0.         0.06099037 0.         0.
 0.         0.         0.        ]";45;0.5364115238189697;{'environmental': 0.6942310205402089, 'social': 0.6792421092561459, 'corporate governance': 0.7340934884954838};corporate governance;0.7340934884954838
10;ABX;[(6, 0.032405414), (20, 0.38909376), (43, 0.1447139), (47, 0.046785895), (53, 0.043604672), (76, 0.12426539), (79, 0.1897655), (85, 0.027414527), (20, 0.22373788), (76, 0.14829917), (79, 0.60280126), (20, 0.38759184), (47, 0.08761786), (53, 0.052341044), (76, 0.24581029), (79, 0.18440437), (85, 0.02211908), (25, 0.3467127), (61, 0.1294122), (76, 0.51230794), (40, 0.21939573), (55, 0.022750378), (76, 0.74209845), (6, 0.078888446), (15, 0.6224601), (45, 0.1995097), (76, 0.09797429), (70, 0.99848384), (15, 0.11678133), (21, 0.02021062), (25, 0.020866023), (27, 0.06343409), (45, 0.11309437), (76, 0.58908254), (94, 0.023001421), (37, 0.74839383), (53, 0.06760209), (76, 0.06854312), (86, 0.11409498), (25, 0.16103803), (40, 0.05457463), (76, 0.75466573), (55, 0.77807486), (76, 0.22040854), (25, 0.07849596), (37, 0.32605332), (53, 0.25049898), (64, 0.085260905), (76, 0.13970785), (86, 0.11694124), (20, 0.19025835), (22, 0.20939344), (25, 0.12411948), (27, 0.037434995), (45, 0.03525976), (76, 0.29455212), (79, 0.083280094), (94, 0.024819287), (20, 0.19481078), (22, 0.039643932), (25, 0.034922827), (29, 0.07886713), (43, 0.103354305), (45, 0.18087499), (76, 0.23113234), (79, 0.12983596), (6, 0.07292757), (20, 0.27652502), (27, 0.031465437), (45, 0.021497106), (76, 0.14898571), (79, 0.44105512), (20, 0.4172198), (22, 0.03138457), (25, 0.07555874), (45, 0.033652645), (76, 0.20199563), (79, 0.22512308)];"[0.         0.         0.         0.         0.         0.
 0.06140714 0.         0.         0.         0.         0.
 0.         0.         0.         0.36962073 0.         0.
 0.         0.         0.29703392 0.02021062 0.09347398 0.
 0.         0.12024482 0.         0.04411151 0.         0.07886713
 0.         0.         0.         0.         0.         0.
 0.         0.53722358 0.         0.         0.13698518 0.
 0.         0.1240341  0.         0.09731476 0.         0.06720188
 0.         0.         0.         0.         0.         0.1035117
 0.         0.40041262 0.         0.         0.         0.
 0.         0.1294122  0.         0.         0.08526091 0.
 0.         0.         0.         0.         0.99848384 0.
 0.         0.         0.         0.         0.30132194 0.
 0.         0.26518077 0.         0.         0.         0.
 0.         0.0247668  0.11551811 0.         0.         0.
 0.         0.         0.         0.         0.02391035 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";70;0.9984838366508484;{'environmental': 1.4136392619486324, 'social': 1.0606257564538333, 'corporate governance': 2.0212435669444857};corporate governance;2.0212435669444857
11;ADBE;[(25, 0.12155392), (42, 0.16798653), (69, 0.14411587), (87, 0.03879558), (95, 0.509003), (25, 0.27353346), (42, 0.22919753), (45, 0.045505624), (55, 0.044487838), (69, 0.19722967), (95, 0.18909302), (24, 0.032785147), (25, 0.06467461), (42, 0.175583), (45, 0.14439836), (55, 0.07118126), (61, 0.05150771), (69, 0.32726124), (95, 0.08838562), (25, 0.17231102), (27, 0.2015647), (34, 0.030263605), (42, 0.12191335), (53, 0.056176517), (61, 0.082935825), (69, 0.120953485), (94, 0.105938576), (95, 0.0512113), (25, 0.15375765), (42, 0.24559176), (45, 0.07571908), (55, 0.03846806), (61, 0.18474577), (69, 0.27087957), (92, 0.025598453), (25, 0.20784552), (42, 0.18792045), (69, 0.12755406), (87, 0.042131208), (95, 0.4022779), (25, 0.22604503), (42, 0.1323702), (69, 0.062154353), (95, 0.5440493), (99, 0.025029773)];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03278515 0.17424589 0.         0.2015647  0.         0.
 0.         0.         0.         0.         0.0302636  0.
 0.         0.         0.         0.         0.         0.
 0.1800804  0.         0.         0.08854102 0.         0.
 0.         0.         0.         0.         0.         0.05617652
 0.         0.05137905 0.         0.         0.         0.
 0.         0.10639644 0.         0.         0.         0.
 0.         0.         0.         0.17859261 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04046339 0.         0.
 0.         0.         0.02559845 0.         0.10593858 0.29733669
 0.         0.         0.         0.02502977 0.         0.
 0.         0.         0.        ]";95;0.29733668950696784;{'environmental': 0.4235805336784901, 'social': 0.6681537349327565, 'corporate governance': 0.5026579936992526};social;0.6681537349327565
12;ADCT;[(25, 0.32821587), (42, 0.10173284), (43, 0.27767166), (69, 0.15621443), (86, 0.051738106), (95, 0.06685889), (6, 0.22181676), (25, 0.21983404), (42, 0.14435735), (45, 0.079203755), (85, 0.050475106), (86, 0.23875502), (87, 0.044008948), (6, 0.05243606), (25, 0.1279636), (42, 0.05550862), (45, 0.07616158), (46, 0.039318375), (47, 0.039791778), (79, 0.030807074), (85, 0.027383072), (86, 0.33797288), (95, 0.1646927), (25, 0.2036563), (34, 0.062544934), (42, 0.07168924), (79, 0.034390796), (86, 0.15972662), (95, 0.41202343), (25, 0.33024654), (34, 0.036821462), (40, 0.020839538), (42, 0.05571277), (45, 0.084192015), (86, 0.17242795), (95, 0.25403515), (6, 0.20161857), (25, 0.22051205), (42, 0.13844702), (43, 0.024013886), (45, 0.086164996), (85, 0.037458494), (86, 0.23985092), (87, 0.050408456)];"[0.         0.         0.         0.         0.         0.
 0.1586238  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.23840473 0.         0.         0.         0.
 0.         0.         0.         0.         0.0496832  0.
 0.         0.         0.         0.         0.02083954 0.
 0.09457464 0.15084278 0.         0.08143059 0.03931838 0.03979178
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.15621443 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.03259894 0.         0.         0.         0.
 0.         0.03843889 0.20007858 0.0472087  0.         0.
 0.         0.         0.         0.         0.         0.22440254
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";25;0.23840473343928656;{'environmental': 0.5560972768728445, 'social': 0.4501790647877624, 'corporate governance': 0.5661751625972112};corporate governance;0.5661751625972112
13;ADI;[(25, 0.1947002), (40, 0.28374797), (86, 0.25797066), (95, 0.2449351), (25, 0.35761216), (40, 0.027329393), (43, 0.056090858), (46, 0.042710155), (70, 0.049921475), (86, 0.461541), (6, 0.042060085), (20, 0.19513142), (29, 0.5524651), (86, 0.06365205), (95, 0.14509499), (25, 0.028028544), (34, 0.028473135), (43, 0.05333316), (53, 0.19022498), (69, 0.026216868), (75, 0.068457074), (86, 0.36766392), (95, 0.1856622), (6, 0.46035418), (69, 0.5364031), (20, 0.06185973), (25, 0.12515123), (40, 0.05608566), (43, 0.06900007), (69, 0.052363746), (86, 0.4964083), (95, 0.12816036), (25, 0.059241246), (86, 0.37045395), (95, 0.5475041)];"[0.         0.         0.         0.         0.         0.
 0.25120713 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.12849558 0.         0.         0.
 0.         0.15294668 0.         0.         0.         0.55246508
 0.         0.         0.         0.         0.02847314 0.
 0.         0.         0.         0.         0.12238767 0.
 0.         0.0594747  0.         0.         0.04271016 0.
 0.         0.         0.         0.         0.         0.19022498
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.20499458 0.04992148 0.
 0.         0.         0.         0.06845707 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.33628165 0.         0.         0.
 0.         0.         0.         0.         0.         0.25027135
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";29;0.5524650812149048;{'environmental': 0.8500335317769793, 'social': 0.6811840231711448, 'corporate governance': 0.9070936782991961};corporate governance;0.9070936782991961
14;ADM;[(6, 0.31421977), (11, 0.2386971), (69, 0.21310356), (79, 0.05246007), (86, 0.047016867), (95, 0.12645581), (6, 0.47523525), (11, 0.059493024), (25, 0.03070446), (69, 0.14485557), (79, 0.22213781), (95, 0.064474985), (6, 0.08260986), (34, 0.030094104), (39, 0.0339936), (43, 0.48292485), (71, 0.03604676), (79, 0.3168289), (11, 0.035728596), (25, 0.78637886), (69, 0.06418398), (79, 0.049200915), (95, 0.021478241), (6, 0.58710796), (11, 0.056338347), (25, 0.06571853), (69, 0.082648806), (79, 0.204871), (6, 0.5890453), (11, 0.028420296), (47, 0.034203563), (69, 0.081111304), (79, 0.17196397), (95, 0.08842126)];"[0.         0.         0.         0.         0.         0.
 0.40964363 0.         0.         0.         0.         0.08373547
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.29426728 0.         0.         0.         0.
 0.         0.         0.         0.         0.0300941  0.
 0.         0.         0.         0.0339936  0.         0.
 0.         0.48292485 0.         0.         0.         0.03420356
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.11718065 0.         0.03604676
 0.         0.         0.         0.         0.         0.
 0.         0.16957711 0.         0.         0.         0.
 0.         0.         0.04701687 0.         0.         0.
 0.         0.         0.         0.         0.         0.07520758
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";43;0.48292484879493713;{'environmental': 0.6707537700149996, 'social': 0.44059356509764436, 'corporate governance': 0.7025441225605182};corporate governance;0.7025441225605182
15;ADP;[(25, 0.19086424), (29, 0.078226626), (46, 0.020565905), (86, 0.08078757), (95, 0.59054464), (6, 0.37560612), (25, 0.07878935), (29, 0.035244767), (95, 0.48704717), (25, 0.15080279), (34, 0.13812853), (69, 0.13976157), (95, 0.5478799)];"[0.         0.         0.         0.         0.         0.
 0.37560612 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.14015213 0.         0.         0.         0.0567357
 0.         0.         0.         0.         0.13812853 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0205659  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.13976157 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.08078757 0.         0.         0.
 0.         0.         0.         0.         0.         0.54182389
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]";95;0.5418238937854767;{'environmental': 0.5124125779002098, 'social': 0.4954715018349031, 'corporate governance': 0.48567733154134674};environmental;0.5124125779002098
